PLAYER	POS	TEAM	GP	MPG	FG%	FGM	FGA	zFG%	FT%	FTM	FTA	zFT%	3PM	z3PM	PTS	zPTS	REB	zREB	AST	zAST	STL	zSTL	BLK	zBLK	TO	zTO	TOTAL
223 20	JaVale McGee	C	CLE	68	11.2	0.643	2.1	3.3	1.54	0.667	0.6	0.9	-0.44	0.0	-1.74	4.8	-1.29	4.2	-0.34	0.4	-1.19	0.4	-1.40	1.0	1.04	0.6	1.27	-2.56
224 18	Deni Avdija	SG,SF	WAS	64	26.4	0.452	4.4	9.6	-0.13	0.619	0.8	1.3	-0.92	1.1	-0.46	10.7	-0.37	4.1	-0.39	2.4	-0.08	0.8	-0.23	0.6	0.12	1.7	-0.11	-2.56
225 7	Lonnie Walker IV	SG,SF	SAS	64	23.8	0.424	3.7	8.8	-0.71	0.732	1.1	1.5	-0.28	1.5	-0.01	10.1	-0.46	3.5	-0.64	1.7	-0.47	0.9	-0.08	0.3	-0.62	1.1	0.70	-2.57
226 27	Lou Williams	PG,SG	LAC	68	21.2	0.424	4.3	10.0	-0.81	0.862	3.1	3.6	1.47	1.2	-0.40	12.8	-0.03	2.2	-1.16	3.9	0.78	0.5	-1.08	0.1	-0.97	2.0	-0.37	-2.57
227 9	Troy Brown Jr.	SG,SF	WAS	67	19.8	0.444	3.1	6.9	-0.20	0.787	1.2	1.6	0.08	0.8	-0.79	8.2	-0.76	4.2	-0.34	2.0	-0.29	0.9	-0.03	0.1	-1.11	0.9	0.84	-2.59
228 9	Cedi Osman	SF,PF	CLE	67	26.1	0.433	3.8	8.8	-0.52	0.717	0.9	1.3	-0.33	1.9	0.43	10.4	-0.40	2.9	-0.87	2.3	-0.09	0.8	-0.28	0.2	-0.81	1.4	0.27	-2.59
229 4	Caleb Martin	SG,SF	CHA	30	18.6	0.432	2.5	5.8	-0.33	0.731	1.1	1.5	-0.28	1.5	0.00	7.6	-0.85	2.8	-0.90	1.5	-0.53	0.9	-0.03	0.5	-0.09	1.3	0.36	-2.65
230 5	Marcus Morris Sr.	PF,C	LAC	62	26.2	0.423	3.1	7.3	-0.60	0.826	2.4	2.9	0.70	1.3	-0.30	9.8	-0.51	3.4	-0.66	0.9	-0.90	0.5	-1.05	0.5	-0.07	1.1	0.69	-2.69
231 40	Bojan Bogdanovic	SF,PF	UTA	64	32.9	0.403	4.1	10.0	-1.33	0.869	3.0	3.4	1.49	2.2	0.81	13.3	0.05	4.1	-0.38	2.1	-0.23	0.5	-1.05	0.1	-1.06	2.5	-1.02	-2.71
232 18	Jakob Poeltl	C	SAS	62	12.7	0.624	1.8	2.9	1.23	0.462	0.4	0.9	-1.30	0.0	-1.74	4.0	-1.41	4.1	-0.38	1.3	-0.67	0.4	-1.23	1.2	1.50	0.6	1.28	-2.72
233 16	Onyeka Okongwu	PF,C	ATL	50	17.7	0.542	3.9	7.2	1.52	0.723	1.1	1.6	-0.36	0.0	-1.73	8.9	-0.64	4.1	-0.37	0.4	-1.19	0.5	-1.15	1.1	1.22	1.7	-0.05	-2.74
234 108	Russell Westbrook	PG	WAS	56	35.8	0.410	7.5	18.3	-2.17	0.636	4.1	6.4	-3.76	0.9	-0.68	20.0	1.10	9.6	1.85	9.9	4.09	1.2	0.58	0.4	-0.44	4.4	-3.32	-2.76
235 4	Jae Crowder	SF,PF	PHX	60	23.2	0.409	2.7	6.7	-0.77	0.754	1.4	1.9	-0.16	1.4	-0.14	8.3	-0.74	4.2	-0.35	1.7	-0.43	0.8	-0.23	0.3	-0.72	1.0	0.76	-2.77
236 8	Goga Bitadze	C	IND	44	16.4	0.477	2.9	6.0	0.32	0.768	0.8	1.0	-0.05	0.3	-1.40	6.8	-0.98	3.5	-0.60	0.7	-1.02	0.3	-1.48	1.2	1.38	0.8	0.97	-2.85
237 5	Cameron Payne	PG,SG	PHX	34	16.1	0.448	2.9	6.4	-0.11	0.841	0.5	0.6	0.15	1.3	-0.22	7.6	-0.85	2.7	-0.92	2.1	-0.23	0.7	-0.55	0.1	-0.97	1.0	0.79	-2.91
238 9	Alex Caruso	PG,SG	LAL	68	20.2	0.423	2.1	4.9	-0.38	0.733	1.2	1.7	-0.30	0.7	-0.99	6.0	-1.09	2.2	-1.14	2.2	-0.17	1.2	0.73	0.3	-0.53	0.9	0.91	-2.96
239 12	Kentavious Caldwell-Pope	PG,SG	LAL	60	25.1	0.465	3.3	7.2	0.16	0.735	1.1	1.5	-0.26	1.3	-0.30	9.0	-0.63	2.1	-1.19	1.6	-0.52	0.8	-0.35	0.2	-0.83	0.9	0.91	-3.01
240 13	Nicolo Melli	PF,C	NOP	60	18.1	0.426	2.4	5.7	-0.42	0.748	1.0	1.3	-0.16	1.4	-0.11	7.2	-0.91	3.2	-0.75	1.5	-0.57	0.6	-0.73	0.4	-0.32	0.9	0.94	-3.01
241 4	Kris Dunn	PG,SG	ATL	50	16.1	0.446	2.1	4.7	-0.10	0.776	0.6	0.8	-0.02	0.5	-1.17	5.3	-1.21	2.2	-1.14	2.3	-0.11	1.2	0.68	0.3	-0.69	1.0	0.75	-3.02
242 1	Zach Collins	PF,C	POR	56	21.5	0.467	2.5	5.3	0.16	0.767	0.5	0.6	-0.05	1.0	-0.66	6.4	-1.04	5.4	0.14	1.3	-0.68	0.4	-1.23	0.4	-0.30	1.1	0.63	-3.02
243 6	Jahlil Okafor	C	DET	50	16.7	0.631	3.7	5.9	2.55	0.642	1.5	2.3	-1.31	0.0	-1.74	8.9	-0.65	4.6	-0.18	1.3	-0.66	0.2	-1.75	0.8	0.46	1.4	0.26	-3.02
244 13	Isaac Okoro	SG,SF	CLE	67	28.6	0.433	3.5	8.1	-0.46	0.682	1.5	2.2	-0.88	0.9	-0.72	9.4	-0.56	3.7	-0.53	2.0	-0.27	0.9	-0.03	0.8	0.44	1.7	-0.01	-3.03
245 15	Justise Winslow	PF	MEM	60	27.8	0.427	4.0	9.3	-0.69	0.644	1.2	1.9	-1.09	0.9	-0.75	10.0	-0.47	5.1	0.04	3.1	0.31	1.0	0.08	0.4	-0.42	1.7	-0.05	-3.03
246 20	Doug McDermott	SF,PF	IND	65	18.8	0.487	3.7	7.6	0.57	0.825	0.7	0.8	0.15	1.8	0.25	9.8	-0.51	2.4	-1.07	1.0	-0.81	0.2	-1.83	0.1	-1.08	0.6	1.28	-3.05
247 5	Boban Marjanovic	C	DAL	44	10.7	0.565	3.1	5.5	1.50	0.761	1.2	1.6	-0.09	0.1	-1.62	7.6	-0.85	5.4	0.16	0.8	-0.94	0.2	-1.75	0.4	-0.35	0.9	0.87	-3.06
248	Grayson Allen	SG,SF	MEM	60	20.7	0.454	3.4	7.6	-0.04	0.835	1.1	1.3	0.34	1.9	0.42	9.9	-0.49	2.4	-1.04	1.6	-0.52	0.3	-1.48	0.1	-1.04	1.0	0.76	-3.07
249 56	RJ Barrett	SG,SF	NYK	68	34.2	0.423	6.0	14.2	-1.23	0.667	3.5	5.2	-2.33	1.5	0.00	17.1	0.63	5.8	0.33	3.1	0.33	1.2	0.80	0.4	-0.28	2.8	-1.35	-3.09
250 10	Eric Gordon	SG,SF	HOU	58	28.1	0.388	5.0	12.9	-2.23	0.786	2.4	3.0	0.20	2.7	1.32	15.0	0.31	1.9	-1.26	1.5	-0.56	0.6	-0.80	0.3	-0.60	1.2	0.53	-3.09
251 3	Timothe Luwawu-Cabarrot	SG,SF	BRO	38	20.5	0.451	3.1	6.8	-0.09	0.832	1.8	2.1	0.56	1.6	0.08	9.5	-0.55	3.1	-0.78	0.5	-1.12	0.5	-1.10	0.2	-0.92	1.0	0.81	-3.11
252 23	Mason Plumlee	PF,C	DET	60	25.6	0.534	3.5	6.6	1.27	0.558	2.0	3.5	-3.29	0.0	-1.74	9.0	-0.63	7.3	0.92	3.5	0.57	0.7	-0.53	0.8	0.53	1.8	-0.24	-3.14
253 19	Bol Bol	PF,C	DEN	20	13.7	0.487	2.3	4.8	0.39	0.821	1.3	1.6	0.31	0.6	-1.04	6.5	-1.02	3.1	-0.76	1.1	-0.81	0.4	-1.43	1.1	1.13	1.6	0.01	-3.20
254 1	Denzel Valentine	SG,SF	CHI	32	15.6	0.428	3.0	7.0	-0.48	0.750	0.3	0.4	-0.08	1.6	0.05	7.9	-0.81	2.4	-1.05	1.4	-0.59	0.8	-0.40	0.3	-0.60	1.0	0.78	-3.20
255 9	Brad Wanamaker	PG,SG	GSW	68	18.4	0.447	2.3	5.2	-0.10	0.928	1.8	2.0	1.33	0.5	-1.16	7.0	-0.94	1.2	-1.54	2.4	-0.05	0.7	-0.45	0.2	-0.81	1.2	0.53	-3.20
256 7	Bismack Biyombo	C	CHA	58	23.1	0.538	3.5	6.5	1.33	0.604	2.1	3.5	-2.57	0.0	-1.74	9.1	-0.61	7.3	0.90	1.1	-0.76	0.3	-1.68	1.1	1.32	1.1	0.61	-3.20
257 6	Pat Connaughton	SG,SF	MIL	60	18.7	0.460	2.0	4.4	0.07	0.750	0.5	0.7	-0.10	0.8	-0.81	5.4	-1.19	4.3	-0.30	1.6	-0.48	0.4	-1.28	0.5	-0.12	0.8	0.98	-3.22
258 1	Avery Bradley	SG,SF	MIA	60	23.4	0.449	3.4	7.6	-0.13	0.816	0.4	0.5	0.05	1.3	-0.31	8.5	-0.71	2.3	-1.09	1.3	-0.69	0.9	-0.13	0.1	-1.06	1.0	0.80	-3.26
259	Willie Cauley-Stein	PF,C	DAL	40	10.5	0.605	2.2	3.7	1.38	0.577	0.4	0.7	-0.64	0.0	-1.74	4.8	-1.28	4.3	-0.28	0.9	-0.88	0.5	-1.03	0.7	0.35	0.9	0.87	-3.26
260 14	Trey Lyles	PF,C	SAS	58	18.1	0.446	2.3	5.1	-0.11	0.723	0.5	0.7	-0.18	0.9	-0.67	5.9	-1.12	5.3	0.12	1.0	-0.82	0.4	-1.38	0.4	-0.44	0.6	1.29	-3.30
261 10	Taj Gibson	PF,C	NYK	60	15.1	0.587	2.5	4.2	1.38	0.753	0.6	0.9	-0.11	0.1	-1.64	5.7	-1.15	3.9	-0.44	0.7	-0.98	0.4	-1.38	0.5	-0.23	0.6	1.19	-3.35
262 4	Cory Joseph	PG	SAC	68	23.6	0.421	2.3	5.5	-0.46	0.794	0.8	1.0	0.06	0.8	-0.87	6.2	-1.07	2.5	-1.01	3.4	0.49	0.7	-0.60	0.3	-0.62	1.1	0.69	-3.38
263 19	Langston Galloway	PG,SG	PHX	64	18.1	0.441	2.1	4.8	-0.16	0.837	0.9	1.0	0.26	1.6	0.07	6.7	-0.99	1.5	-1.41	1.2	-0.72	0.6	-0.90	0.2	-0.92	0.5	1.39	-3.39
264 1	Kent Bazemore	SG,SF	GSW	60	18.7	0.457	2.4	5.3	0.02	0.765	0.9	1.2	-0.06	0.9	-0.71	6.7	-1.00	2.8	-0.90	1.0	-0.84	0.7	-0.55	0.5	-0.16	1.0	0.79	-3.41
265 2	Ish Smith	PG	WAS	60	18.1	0.446	3.1	7.0	-0.17	0.753	0.7	0.9	-0.11	0.6	-1.04	7.5	-0.87	2.2	-1.14	3.4	0.48	0.6	-0.75	0.3	-0.65	1.0	0.81	-3.42
266 5	Harry Giles III	PF,C	POR	26	14.7	0.520	3.2	6.2	0.98	0.720	0.9	1.2	-0.29	0.0	-1.74	7.3	-0.90	4.4	-0.26	1.4	-0.62	0.5	-0.98	0.4	-0.30	1.1	0.68	-3.43
267 3	Al-Farouq Aminu	SF,PF	ORL	30	17.9	0.430	1.8	4.1	-0.23	0.798	1.0	1.2	0.12	0.4	-1.25	5.0	-1.27	4.2	-0.34	1.0	-0.82	0.9	-0.18	0.3	-0.51	0.8	1.04	-3.44
268 12	T.J. McConnell	PG,SG	IND	66	16.8	0.473	2.7	5.7	0.25	0.833	0.5	0.5	0.10	0.1	-1.61	6.0	-1.11	2.4	-1.05	4.1	0.88	0.7	-0.50	0.2	-0.88	1.3	0.45	-3.44
269 3	Alex Len	PF,C	WAS	54	14.2	0.554	2.7	4.9	1.20	0.649	1.0	1.5	-0.84	0.3	-1.40	6.7	-0.99	4.4	-0.27	0.8	-0.97	0.4	-1.35	0.6	0.09	0.8	1.06	-3.45
270 8	Dewayne Dedmon	C	DET	58	17.2	0.426	2.6	6.1	-0.44	0.823	0.5	0.6	0.10	0.6	-1.05	6.3	-1.05	4.9	-0.05	0.5	-1.11	0.4	-1.30	0.9	0.78	1.1	0.65	-3.47
271 9	Rodney Hood	SG,SF	POR	50	22.1	0.454	2.8	6.2	-0.03	0.767	0.7	0.9	-0.05	1.3	-0.23	7.7	-0.84	2.4	-1.05	1.0	-0.82	0.6	-0.73	0.1	-0.97	0.6	1.22	-3.49
272 6	Ben McLemore	SG,SF	HOU	64	20.4	0.418	3.1	7.4	-0.70	0.719	0.6	0.9	-0.24	2.3	0.85	9.1	-0.61	2.0	-1.21	0.7	-0.98	0.6	-0.93	0.2	-0.88	0.6	1.19	-3.50
273 4	Reggie Bullock	SG,SF	NYK	57	21.8	0.411	3.0	7.3	-0.80	0.814	0.6	0.7	0.09	1.4	-0.13	8.0	-0.79	2.2	-1.15	1.3	-0.66	0.9	-0.18	0.1	-1.08	0.7	1.17	-3.52
274 9	Matisse Thybulle	SG,SF	PHI	64	15.1	0.436	1.5	3.5	-0.14	0.660	0.3	0.5	-0.27	0.7	-0.93	4.1	-1.40	1.3	-1.49	0.9	-0.87	1.1	0.35	0.6	-0.02	0.6	1.21	-3.56
275 2	Chris Chiozza	PG	BRO	18	12.1	0.449	1.5	3.3	-0.02	0.714	0.1	0.1	-0.09	0.7	-0.96	3.8	-1.45	1.5	-1.43	2.8	0.14	1.0	0.15	0.2	-0.83	0.9	0.90	-3.58
276 8	Chuma Okeke	PF	ORL	58	20.5	0.457	2.9	6.4	0.01	0.712	0.9	1.3	-0.37	0.8	-0.87	7.6	-0.85	3.7	-0.52	0.9	-0.87	0.7	-0.60	0.5	-0.12	1.2	0.54	-3.64
277 14	Ersan Ilyasova	SF,PF	MIL	60	14.7	0.441	2.2	4.9	-0.15	0.803	1.1	1.4	0.16	0.8	-0.89	6.2	-1.08	4.5	-0.22	0.8	-0.97	0.4	-1.38	0.3	-0.65	0.5	1.40	-3.77
278 3	Drew Eubanks	PF,C	SAS	22	11.7	0.668	1.9	2.8	1.52	0.752	0.9	1.1	-0.13	0.0	-1.74	4.6	-1.32	3.7	-0.54	0.7	-1.02	0.2	-1.83	0.8	0.44	0.9	0.84	-3.78
279 3	D.J. Augustin	PG	MIL	60	18.3	0.421	2.3	5.5	-0.46	0.874	2.0	2.3	1.04	0.9	-0.75	7.5	-0.86	1.6	-1.38	3.3	0.46	0.4	-1.23	0.0	-1.29	1.1	0.67	-3.81
280 20	Hamidou Diallo	SG,SF	OKL	40	20.4	0.454	4.0	8.9	-0.06	0.629	1.3	2.0	-1.28	0.5	-1.22	9.8	-0.50	5.1	0.04	1.1	-0.77	1.1	0.50	0.3	-0.67	1.5	0.12	-3.84
281 19	Bruno Caboclo	SF,PF	HOU	16	11.4	0.418	1.8	4.3	-0.37	1.000	0.1	0.1	0.09	0.3	-1.42	4.0	-1.41	2.8	-0.91	0.7	-1.01	0.7	-0.58	0.7	0.30	0.4	1.47	-3.84
282 15	Damyean Dotson	SG	CLE	44	21.1	0.424	3.0	7.1	-0.56	0.730	0.5	0.7	-0.17	1.4	-0.20	7.9	-0.80	2.3	-1.10	1.5	-0.58	0.6	-0.80	0.1	-1.02	0.5	1.39	-3.85
283 18	Torrey Craig	SG,SF	MIL	62	18.7	0.452	2.1	4.7	-0.03	0.656	0.4	0.6	-0.36	0.8	-0.81	5.4	-1.19	3.2	-0.74	0.7	-0.98	0.4	-1.25	0.6	0.05	0.4	1.45	-3.87
284 5	Wesley Matthews	SG,SF	LAL	68	24.2	0.403	2.5	6.2	-0.79	0.788	0.8	1.0	0.04	1.6	0.07	7.3	-0.89	2.4	-1.07	1.4	-0.62	0.6	-0.80	0.1	-1.06	0.6	1.24	-3.88
285 21	Kyle Kuzma	SF,PF	LAL	68	25.8	0.437	4.0	9.0	-0.44	0.659	1.7	2.6	-1.28	1.7	0.14	11.2	-0.28	4.7	-0.15	1.3	-0.64	0.5	-1.00	0.4	-0.35	1.6	0.11	-3.90
286 7	Aleksej Pokusevski	SF	OKL	60	17.2	0.402	2.1	5.3	-0.68	0.780	0.7	0.9	0.00	0.8	-0.82	5.8	-1.14	4.0	-0.41	1.4	-0.61	0.5	-1.03	0.6	0.12	1.1	0.62	-3.94
287	Rondae Hollis-Jefferson	SF,PF	MIN	32	15.5	0.471	2.2	4.7	0.20	0.751	1.5	2.1	-0.20	0.0	-1.74	6.0	-1.10	4.0	-0.41	1.5	-0.53	0.7	-0.60	0.3	-0.51	0.9	0.93	-3.95
288 18	Tony Bradley	C	PHI	28	10.1	0.668	2.0	2.9	1.56	0.620	0.4	0.7	-0.51	0.1	-1.64	4.4	-1.35	4.1	-0.39	0.4	-1.20	0.2	-1.85	0.5	-0.07	0.4	1.43	-4.00
289 6	Meyers Leonard	PF,C	MIA	52	16.7	0.501	1.9	3.9	0.46	0.786	0.3	0.4	-0.02	0.8	-0.79	5.0	-1.25	4.3	-0.31	0.9	-0.88	0.3	-1.68	0.3	-0.72	0.7	1.16	-4.01
290 2	Damion Lee	SG,SF	GSW	50	16.7	0.413	2.5	6.1	-0.64	0.849	1.3	1.5	0.49	1.0	-0.60	7.3	-0.89	2.9	-0.87	1.6	-0.51	0.6	-0.83	0.1	-1.15	0.8	0.98	-4.02
291 13	Kenrich Williams	SF,PF	NOP	35	19.4	0.379	1.4	3.8	-0.68	0.616	0.5	0.9	-0.62	0.8	-0.88	4.1	-1.39	4.4	-0.24	1.4	-0.62	0.7	-0.68	0.5	-0.23	0.6	1.30	-4.04
292 7	Bruce Brown	SG	BRO	42	17.2	0.454	2.2	4.8	0.00	0.763	1.0	1.3	-0.07	0.4	-1.32	5.7	-1.14	2.6	-0.98	2.4	-0.07	0.7	-0.58	0.3	-0.58	1.1	0.69	-4.05
293 9	Jarrett Culver	PG,SG	MIN	70	22.2	0.432	3.2	7.4	-0.43	0.553	0.8	1.4	-1.38	0.9	-0.71	8.1	-0.77	3.7	-0.52	1.5	-0.57	0.8	-0.20	0.5	-0.09	1.1	0.62	-4.05
294 2	Luka Samanic	PF	SAS	10	17.2	0.379	2.0	5.3	-0.98	0.766	1.1	1.5	-0.06	1.1	-0.48	6.2	-1.07	3.7	-0.55	2.2	-0.16	0.0	-2.30	0.8	0.51	0.8	1.03	-4.06
295 2	Jalen McDaniels	PF,C	CHA	18	17.6	0.478	2.0	4.2	0.25	0.821	0.9	1.1	0.20	0.7	-0.99	5.6	-1.17	3.9	-0.47	0.8	-0.96	0.5	-1.10	0.2	-0.85	0.8	1.04	-4.06
296 7	Shaquille Harrison	PG,SG,SF	UTA	40	10.2	0.449	1.7	3.8	-0.04	0.771	0.9	1.2	-0.03	0.4	-1.27	4.7	-1.30	1.9	-1.27	1.1	-0.78	0.8	-0.28	0.4	-0.35	0.6	1.24	-4.07
297 7	Omari Spellman	PF	NYK	20	14.2	0.433	2.0	4.7	-0.24	0.792	1.2	1.5	0.11	0.7	-0.93	6.0	-1.10	3.5	-0.60	0.8	-0.96	0.6	-0.93	0.4	-0.39	0.9	0.93	-4.11
298 23	Dwayne Bacon	SG	ORL	40	22.4	0.427	3.0	7.0	-0.51	0.718	1.3	1.8	-0.44	1.0	-0.61	8.3	-0.75	3.5	-0.60	1.6	-0.49	0.9	0.05	0.1	-0.99	1.5	0.19	-4.15
299 30	Facundo Campazzo	PG	DEN	56	17.5	0.417	2.3	5.4	-0.51	0.792	1.0	1.2	0.08	1.2	-0.38	6.7	-1.00	2.0	-1.22	3.8	0.69	0.8	-0.43	0.0	-1.25	1.8	-0.19	-4.19
300 4	Cody Martin	SG,SF	CHA	60	18.4	0.440	1.9	4.3	-0.14	0.650	0.9	1.4	-0.79	0.7	-0.98	5.3	-1.20	3.5	-0.61	2.0	-0.27	0.8	-0.40	0.3	-0.72	0.9	0.85	-4.25
